epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,3762.93,0.75929,0.52362,1.03845,0.97159,0.96551,0.98535,0.85989,0.52122,0.27954,0.89344,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,3830.71,0.75184,0.51876,1.03733,0.97224,0.96929,0.98697,0.8656,0.50848,0.27402,0.89066,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,3899.67,0.75427,0.52015,1.03482,0.97452,0.97088,0.98678,0.8685,0.4992,0.26983,0.88324,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,3967.7,0.74613,0.51809,1.03231,0.97748,0.97516,0.98887,0.87344,0.49494,0.26778,0.88284,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,4034.93,0.73745,0.50341,1.02726,0.97941,0.97478,0.98805,0.87393,0.48779,0.26461,0.88002,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,4101.87,0.72615,0.50379,1.02253,0.97382,0.97479,0.98835,0.87625,0.4823,0.25908,0.8747,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,4169,0.7238,0.49779,1.01929,0.97924,0.97518,0.98942,0.87897,0.47885,0.25882,0.87348,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,4235.75,0.7172,0.49103,1.01584,0.98073,0.97492,0.98961,0.87901,0.47547,0.25548,0.87225,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,4302.51,0.71746,0.49559,1.01609,0.98286,0.97707,0.99087,0.88189,0.46719,0.25134,0.86835,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,4369.37,0.70671,0.48736,1.01277,0.9822,0.97939,0.99097,0.88706,0.45891,0.24649,0.86565,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,4436.09,0.7157,0.49442,1.01693,0.98426,0.97839,0.99131,0.88911,0.45773,0.24497,0.86233,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,4503.09,0.69784,0.4794,1.00556,0.98324,0.97745,0.99049,0.89175,0.44697,0.24067,0.85749,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,4569.64,0.69304,0.47935,1.00502,0.98383,0.98038,0.99052,0.8932,0.44251,0.24224,0.85783,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,4636.64,0.69204,0.4772,1.00094,0.9861,0.9822,0.99228,0.89574,0.43772,0.23667,0.85261,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,4703.46,0.68708,0.47242,0.99567,0.98813,0.9815,0.99182,0.89865,0.4284,0.23364,0.84978,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,4770.34,0.68671,0.47396,0.99927,0.98872,0.98132,0.99225,0.90027,0.42855,0.23333,0.84866,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,4837.39,0.67977,0.46888,0.99662,0.98705,0.98509,0.99246,0.90121,0.42211,0.23059,0.84844,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,4905.17,0.67152,0.46404,0.99561,0.9863,0.98682,0.99297,0.90382,0.41904,0.2269,0.84565,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,4972.61,0.67336,0.4618,0.99457,0.9872,0.98526,0.99327,0.90885,0.40784,0.22471,0.84036,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,5039.62,0.66903,0.46205,0.99319,0.99008,0.98874,0.99343,0.91145,0.4039,0.22025,0.83954,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,5107.34,0.66296,0.45663,0.98701,0.99018,0.98843,0.99357,0.91147,0.4018,0.2207,0.83748,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,5175.02,0.65866,0.4496,0.98556,0.98975,0.9878,0.99381,0.91339,0.39574,0.21705,0.83614,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,5242.35,0.65733,0.45195,0.98285,0.99208,0.98837,0.99381,0.91587,0.39106,0.21534,0.83323,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,5309.84,0.65071,0.44979,0.98459,0.9922,0.9893,0.99396,0.91674,0.38799,0.21258,0.83261,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,5376.59,0.64164,0.43924,0.97599,0.9913,0.99074,0.99405,0.91909,0.38449,0.21115,0.82943,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,5443.23,0.63492,0.43699,0.97397,0.99202,0.98869,0.99376,0.92069,0.38058,0.20942,0.82816,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,5509.89,0.63812,0.44045,0.97428,0.99084,0.99108,0.99409,0.92126,0.37638,0.20828,0.82673,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,5576.44,0.64233,0.44343,0.97845,0.99313,0.9903,0.99392,0.92255,0.37359,0.20598,0.82613,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,5643.12,0.63999,0.43892,0.97729,0.99191,0.99137,0.994,0.92466,0.36901,0.2046,0.82432,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,5709.68,0.63561,0.438,0.97755,0.99133,0.99263,0.99429,0.92486,0.36605,0.20525,0.82356,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,5776.34,0.63481,0.44054,0.97659,0.99202,0.99365,0.99399,0.92612,0.3675,0.20429,0.82467,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,5842.82,0.62466,0.42865,0.96898,0.99435,0.99258,0.99432,0.92916,0.35765,0.20061,0.82114,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
